"","activity","motion","dimention","mean","std"
"66","SITTING","tGravityAccMag","",-0.95464392144063,-0.939324188353517
"67","STANDING","fBodyAcc","X",-0.98162230498426,-0.985859786930745
"68","STANDING","fBodyAcc","Y",-0.943132376852046,-0.931132967334732
"69","STANDING","fBodyAcc","Z",-0.957359650828961,-0.935439598488982
"70","STANDING","fBodyAccJerk","X",-0.980008693961175,-0.981826075755509
"71","STANDING","fBodyAccJerk","Y",-0.96454742224554,-0.966831630482686
"72","STANDING","fBodyAccJerk","Z",-0.976157838746065,-0.981509250650577
"73","STANDING","fBodyAccMag","",-0.955868098520462,-0.949601613473977
"74","STANDING","fBodyBodyAccJerkMag","",-0.971090423866737,-0.970947966726128
"75","STANDING","fBodyBodyGyroJerkMag","",-0.974885979685205,-0.973461064197272
"76","STANDING","fBodyBodyGyroMag","",-0.94790849906086,-0.93063670339979
"77","STANDING","fBodyGyro","X",-0.943654258352571,-0.946971557429171
"78","STANDING","fBodyGyro","Y",-0.965302753756558,-0.959498600608604
"79","STANDING","fBodyGyro","Z",-0.958384988536201,-0.960689223903463
"80","STANDING","tBodyAcc","X",0.279153494050367,-0.98443471156873
"81","STANDING","tBodyAcc","Y",-0.016151886473745,-0.932508714024134
"82","STANDING","tBodyAcc","Z",-0.106586908690788,-0.939913504673138
"83","STANDING","tBodyAccJerk","X",0.0750279173525708,-0.97996855569255
"84","STANDING","tBodyAccJerk","Y",0.00880525863452886,-0.964342752203568
"85","STANDING","tBodyAccJerk","Z",-0.00458206132902833,-0.979485931469045
"86","STANDING","tBodyAccJerkMag","",-0.97711802452256,-0.971452977271773
"87","STANDING","tBodyAccMag","",-0.954179661789087,-0.946534779481637
"88","STANDING","tBodyGyro","X",-0.0266871408413746,-0.94552836296957
"89","STANDING","tBodyGyro","Y",-0.0677118654705719,-0.961293278672613
"90","STANDING","tBodyGyro","Z",0.0801422394994229,-0.957053051274921
"91","STANDING","tBodyGyroJerk","X",-0.0997292806919727,-0.966957942859391
"92","STANDING","tBodyGyroJerk","Y",-0.0423171100101784,-0.980263299260231
"93","STANDING","tBodyGyroJerk","Z",-0.052095548445404,-0.977067117235047
"94","STANDING","tBodyGyroJerkMag","",-0.978697092402938,-0.973528580524659
"95","STANDING","tBodyGyroMag","",-0.942152523158447,-0.929531182355719
"96","STANDING","tGravityAcc","X",0.941479635262329,-0.988015176652676
"97","STANDING","tGravityAcc","Y",-0.18424651390288,-0.969351769994753
"98","STANDING","tGravityAcc","Z",-0.0140519613122015,-0.953082525826338
"99","STANDING","tGravityAccMag","",-0.954179661789087,-0.946534779481637
"100","WALKING","fBodyAcc","X",-0.297890931822619,-0.322835798362427
"101","WALKING","fBodyAcc","Y",-0.0423392245272938,-0.0772063416317422
"102","WALKING","fBodyAcc","Z",-0.341840674953966,-0.296078309260848
"103","WALKING","fBodyAccJerk","X",-0.31112743843018,-0.287897688500499
"104","WALKING","fBodyAccJerk","Y",-0.170395065771795,-0.0908699078702335
"105","WALKING","fBodyAccJerk","Z",-0.451010514389593,-0.506329080412654
"106","WALKING","fBodyAccMag","",-0.275558097404657,-0.480002278144599
"107","WALKING","fBodyBodyAccJerkMag","",-0.214653971925401,-0.221617770280105
"108","WALKING","fBodyBodyGyroJerkMag","",-0.515516844208937,-0.514404823691173
"109","WALKING","fBodyBodyGyroMag","",-0.409173038476359,-0.47383309359518
"110","WALKING","fBodyGyro","X",-0.348237370890012,-0.510431986710081
"111","WALKING","fBodyGyro","Y",-0.388384886139303,-0.331961524686347
"112","WALKING","fBodyGyro","Z",-0.310406242610407,-0.410569112536585
"113","WALKING","tBodyAcc","X",0.276336875325203,-0.314644454310285
"114","WALKING","tBodyAcc","Y",-0.0179068331339779,-0.0235829464260859
"115","WALKING","tBodyAcc","Z",-0.108881687638618,-0.2739207990668
"116","WALKING","tBodyAccJerk","X",0.0767187377408595,-0.267288163330981
"117","WALKING","tBodyAccJerk","Y",0.0115061924659823,-0.103141139217389
"118","WALKING","tBodyAccJerk","Z",-0.00231938614930952,-0.479147120981986
"119","WALKING","tBodyAccJerkMag","",-0.241451989838379,-0.214555894362491
"120","WALKING","tBodyAccMag","",-0.167937853979757,-0.33775398556687
"121","WALKING","tBodyGyro","X",-0.0347275766522822,-0.469914839340418
"122","WALKING","tBodyGyro","Y",-0.0694200436104837,-0.347921806314175
"123","WALKING","tBodyGyro","Z",0.0863626487285566,-0.338448612532172
"124","WALKING","tBodyGyroJerk","X",-0.0943007119992102,-0.37622140274036
"125","WALKING","tBodyGyroJerk","Y",-0.0445701108594715,-0.512619067859872
"126","WALKING","tBodyGyroJerk","Z",-0.0540064674427816,-0.447427245411672
"127","WALKING","tBodyGyroJerkMag","",-0.460511516745528,-0.498841024689745
"128","WALKING","tBodyGyroMag","",-0.274866019270244,-0.382629015979094
"129","WALKING","tGravityAcc","X",0.93499157825784,-0.977612074494773
"130","WALKING","tGravityAcc","Y",-0.196713497359117,-0.966903875917538
"131","WALKING","tGravityAcc","Z",-0.0538251249015482,-0.954597565156794
"132","WALKING","tGravityAccMag","",-0.167937853979757,-0.33775398556687
"133","WALKING_DOWNSTAIRS","fBodyAcc","X",0.035259668648926,0.121937984843535
"134","WALKING_DOWNSTAIRS","fBodyAcc","Y",0.0566826541965861,-0.0082336714233357
"135","WALKING_DOWNSTAIRS","fBodyAcc","Z",-0.21372923278293,-0.245872896782916
"136","WALKING_DOWNSTAIRS","fBodyAccJerk","X",-0.0722967761178656,-0.0821905158144886
"137","WALKING_DOWNSTAIRS","fBodyAccJerk","Y",-0.116380593184566,-0.091416460479564
"138","WALKING_DOWNSTAIRS","fBodyAccJerk","Z",-0.333190280461238,-0.443554664639787
"139","WALKING_DOWNSTAIRS","fBodyAccMag","",0.142849426284481,-0.0754251669550853
"140","WALKING_DOWNSTAIRS","fBodyBodyAccJerkMag","",0.00476245916278094,-0.0422714225290824
"141","WALKING_DOWNSTAIRS","fBodyBodyGyroJerkMag","",-0.438007290282333,-0.486442976081671
"142","WALKING_DOWNSTAIRS","fBodyBodyGyroMag","",-0.289525832505356,-0.361230992213905
"143","WALKING_DOWNSTAIRS","fBodyGyro","X",-0.217922875601003,-0.375127467913848
"144","WALKING_DOWNSTAIRS","fBodyGyro","Y",-0.317592694113158,-0.36185368284522
"145","WALKING_DOWNSTAIRS","fBodyGyro","Z",-0.16562514453862,-0.38040999928478
"146","WALKING_DOWNSTAIRS","tBodyAcc","X",0.288137227760313,0.100766330932127
"147","WALKING_DOWNSTAIRS","tBodyAcc","Y",-0.0163119254923574,0.0595486228783642
"148","WALKING_DOWNSTAIRS","tBodyAcc","Z",-0.105761624860013,-0.190804507442162
"149","WALKING_DOWNSTAIRS","tBodyAccJerk","X",0.0892266917679481,-0.0338826468930654
"150","WALKING_DOWNSTAIRS","tBodyAccJerk","Y",0.000746749097403983,-0.0736744063550434
"151","WALKING_DOWNSTAIRS","tBodyAccJerk","Z",-0.00872860399406828,-0.388666069444772
"152","WALKING_DOWNSTAIRS","tBodyAccJerkMag","",-0.111801821250135,-0.011220665881458
"153","WALKING_DOWNSTAIRS","tBodyAccMag","",0.101249699851558,0.116488914352198
"154","WALKING_DOWNSTAIRS","tBodyGyro","X",-0.0840345434632895,-0.333817475057255
"155","WALKING_DOWNSTAIRS","tBodyGyro","Y",-0.0529928638977233,-0.339631376954339
"156","WALKING_DOWNSTAIRS","tBodyGyro","Z",0.0946781961059175,-0.272809910672304
"157","WALKING_DOWNSTAIRS","tBodyGyroJerk","X",-0.0728532273938407,-0.38268977198606
"158","WALKING_DOWNSTAIRS","tBodyGyroJerk","Y",-0.051263979292845,-0.465943810555121
"159","WALKING_DOWNSTAIRS","tBodyGyroJerk","Z",-0.0546961525371337,-0.326455992480064
"160","WALKING_DOWNSTAIRS","tBodyGyroJerkMag","",-0.416891551237909,-0.440929331631124
"161","WALKING_DOWNSTAIRS","tBodyGyroMag","",-0.129785639782795,-0.251427800988919
"162","WALKING_DOWNSTAIRS","tGravityAcc","X",0.926457404928876,-0.949748838733997
"163","WALKING_DOWNSTAIRS","tGravityAcc","Y",-0.168507222023357,-0.934266078534851
"164","WALKING_DOWNSTAIRS","tGravityAcc","Z",-0.0479709004743904,-0.912460554516358
"165","WALKING_DOWNSTAIRS","tGravityAccMag","",0.101249699851558,0.116488914352198
"166","WALKING_UPSTAIRS","fBodyAcc","X",-0.293406752279022,-0.218887990072578
"167","WALKING_UPSTAIRS","fBodyAcc","Y",-0.134950514403271,-0.0218110366534067
"168","WALKING_UPSTAIRS","fBodyAcc","Z",-0.368122061042293,-0.146601790497137
"169","WALKING_UPSTAIRS","fBodyAccJerk","X",-0.389896773119819,-0.388992761276127
"170","WALKING_UPSTAIRS","fBodyAccJerk","Y",-0.364666839787014,-0.357632925658886
"171","WALKING_UPSTAIRS","fBodyAccJerk","Z",-0.591670061637306,-0.661590843134715
"172","WALKING_UPSTAIRS","fBodyAccMag","",-0.26202811322658,-0.361753456901554
"173","WALKING_UPSTAIRS","fBodyBodyAccJerkMag","",-0.353961999926425,-0.434206731972435
"174","WALKING_UPSTAIRS","fBodyBodyGyroJerkMag","",-0.658694456439443,-0.703083532121114
"175","WALKING_UPSTAIRS","fBodyBodyGyroMag","",-0.449781382648834,-0.381406363802979
"176","WALKING_UPSTAIRS","fBodyGyro","X",-0.394248174023122,-0.49525397668763
"177","WALKING_UPSTAIRS","fBodyGyro","Y",-0.45925346898967,-0.29318182767215
"178","WALKING_UPSTAIRS","fBodyGyro","Z",-0.296857721646179,-0.292041341940868
"179","WALKING_UPSTAIRS","tBodyAcc","X",0.26229464948342,-0.237989747950635
"180","WALKING_UPSTAIRS","tBodyAcc","Y",-0.0259232890342181,-0.0160325123253303
"181","WALKING_UPSTAIRS","tBodyAcc","Z",-0.120537934670272,-0.175449700484728
"182","WALKING_UPSTAIRS","tBodyAccJerk","X",0.0767293215286917,-0.360863432417876
"183","WALKING_UPSTAIRS","tBodyAccJerk","Y",0.00875888964679404,-0.339226496686328
"184","WALKING_UPSTAIRS","tBodyAccJerk","Z",-0.00600953398545337,-0.627063649764249
"185","WALKING_UPSTAIRS","tBodyAccJerkMag","",-0.390938624541516,-0.385400351575259
"186","WALKING_UPSTAIRS","tBodyAccMag","",-0.100204123946392,-0.249875157023391
"187","WALKING_UPSTAIRS","tBodyGyro","X",0.00682449600215674,-0.46760713827921
"188","WALKING_UPSTAIRS","tBodyGyro","Y",-0.0885225289752966,-0.344231806672079
"189","WALKING_UPSTAIRS","tBodyGyro","Z",0.0598938080367487,-0.237136760675842
"190","WALKING_UPSTAIRS","tBodyGyroJerk","X",-0.112117464583562,-0.553132758357837
"191","WALKING_UPSTAIRS","tBodyGyroJerk","Y",-0.0386192672141386,-0.667339157124352
"192","WALKING_UPSTAIRS","tBodyGyroJerk","Z",-0.0525810278118912,-0.560989210937073
"193","WALKING_UPSTAIRS","tBodyGyroJerkMag","",-0.608047148013666,-0.666836734071891
"194","WALKING_UPSTAIRS","tBodyGyroMag","",-0.178281147518361,-0.337142124176179
"195","WALKING_UPSTAIRS","tGravityAcc","X",0.875003375958549,-0.948191332253886
"196","WALKING_UPSTAIRS","tGravityAcc","Y",-0.281377193548575,-0.925549271962435
"197","WALKING_UPSTAIRS","tGravityAcc","Z",-0.14079566587547,-0.901905618180052
"198","WALKING_UPSTAIRS","tGravityAccMag","",-0.100204123946392,-0.249875157023391
